Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2018-04-15 19:06:45,Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,Expense,INR
2018-04-15 14:40:22,Credit Card,Family,makeup,Body mist,525.0,Expense,INR
2018-04-15 14:40:08,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-04-15 14:39:37,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-04-15 14:38:43,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-04-14 22:27:04,Saving Bank account 1,Household,Kirana,Supermart,107.0,Expense,INR
2018-04-14 22:24:43,Saving Bank account 1,Food,Grocery,Pizza base packet 2,40.0,Expense,INR
2018-04-14 06:31:35,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-04-14 06:31:14,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-04-13 20:34:03,Cash,Health,Lab Tests,Family Thyroid Test + CBC,700.0,Expense,INR
,Cash,Household,Kirana,No Description,112.0,Expense,INR
,Cash,Food,snacks,Pattice,20.0,Expense,INR
,Cash,Food,Lunch,Catering Service,130.0,Expense,INR
,Cash,Food,breakfast,Bread,18.0,Expense,INR
,Saving Bank account 1,Gift,Unknown,farewell contribution,250.0,Expense,INR
,Cash,Food,Grocery,Ginger,10.0,Expense,INR
,Credit Card,Household,Kirana,Supermart,1857.0,Expense,INR
,Cash,Household,Kirana,Pav kg chana dal,24.0,Expense,INR
,Saving Bank account 1,Money transfer,Home,No Description,24500.0,Expense,INR
,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
,Credit Card,Household,Hardware,Window cleaner,149.0,Expense,INR
,Cash,Food,Grocery,Pav kg Lahsoon,24.0,Expense,INR
,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
,Cash,Food,Onions,onion 2 kg,36.0,Expense,INR
,Cash,maid,Unknown,No Description,2000.0,Expense,INR
,Saving Bank account 2,Interest,Unknown,interest paid,345.0,Income,INR
,Saving Bank account 1,Other,Unknown,ATM charge,5.9,Expense,INR
,Saving Bank account 1,Other,Unknown,ATM charge,24.78,Expense,INR
,Saving Bank account 2,Interest,Unknown,interest paid,345.15,Income,INR
,Saving Bank account 1,Money transfer,Home,No Description,10005.9,Expense,INR
2018-03-31 21:39:12,Saving Bank account 1,Food,Ice cream,2 chocobar,45.0,Expense,INR
2018-03-31 19:45:07,Credit Card,Food,Dinner,Home Food Delivery,244.0,Expense,INR
2018-03-31 14:48:02,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
2018-03-31 13:20:18,Credit Card,Food,Lunch,Domino's Pizza,419.0,Expense,INR
2018-03-31 11:32:03,Saving Bank account 1,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-31 07:36:40,Saving Bank account 1,Interest,Unknown,interest paid,589.0,Income,INR
2018-03-31 07:26:26,Cash,Transportation,Train,Place 0 to Sion returns,30.0,Expense,INR
2018-03-30 20:10:12,Cash,Food,snacks,1 Panipuri,25.0,Expense,INR
2018-03-30 11:27:41,Cash,Food,vegetables,Ginger + green chilli,20.0,Expense,INR
2018-03-30 11:27:33,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-29 20:10:25,Credit Card,Food,Dinner,At restaurant,1234.0,Expense,INR
2018-03-27 19:58:24,Cash,Food,breakfast,Bread,35.0,Expense,INR
2018-03-26 13:05:30,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-26 09:55:55,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-03-25 22:20:31,Saving Bank account 1,Dividend earned on Shares,Unknown,Marico Stocks,40.5,Income,INR
2018-03-25 21:14:42,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-25 21:14:08,Cash,Food,snacks,Popcorn family pack,25.0,Expense,INR
2018-03-25 21:13:44,Cash,Food,Tea,2 tea,20.0,Expense,INR
2018-03-25 21:13:19,Cash,Food,snacks,2 Frankie,160.0,Expense,INR
2018-03-25 21:12:38,Credit Card,Food,snacks,French crossiant,80.0,Expense,INR
2018-03-25 21:12:00,Credit Card,Food,Tea,IKEA tea 3,240.0,Expense,INR
2018-03-23 19:48:39,Cash,Culture,Books,Finding next Job,100.0,Expense,INR
2018-03-22 22:30:49,Saving Bank account 1,Food,flour mill,1 kg Bajari,7.0,Expense,INR
2018-03-22 22:30:20,Cash,Food,vegetables,Half kg tomato,15.0,Expense,INR
2018-03-22 20:13:48,Saving Bank account 1,Household,Kirana,Supermart,153.0,Expense,INR
2018-03-22 19:31:37,Saving Bank account 1,Food,snacks,Pickle,150.0,Expense,INR
2018-03-22 19:31:16,Cash,Food,snacks,Potato chips,150.0,Expense,INR
2018-03-22 12:50:18,Cash,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-03-22 12:47:34,Cash,Food,Milk,milk 1lit ,72.0,Expense,INR
2018-03-21 23:13:13,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-03-21 18:41:45,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-03-21 17:26:41,Cash,Family,Pocket money,No Description,50.0,Expense,INR
2018-03-20 20:13:08,Credit Card,Food,Dinner,2 Fried rice,246.0,Expense,INR
2018-03-20 16:30:07,Saving Bank account 2,Other,Unknown,No Description,17.0,Expense,INR
2018-03-20 16:26:08,Credit Card,Food,snacks,Chicken lollypop 8 pcs,215.75,Expense,INR
2018-03-20 16:15:59,Cash,Food,breakfast,Bread,18.0,Expense,INR
2018-03-20 16:15:41,Cash,Food,Eggs,6 eggs,36.0,Expense,INR
2018-03-20 16:15:16,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-18 20:40:33,Cash,Transportation,Bike,Station Parking,10.0,Expense,INR
2018-03-18 18:57:34,Cash,Food,snacks,Dabeli,15.0,Expense,INR
2018-03-18 18:47:54,Credit Card,Family,clothes,Trouser,799.0,Expense,INR
2018-03-18 18:41:33,Credit Card,Family,clothes,Belt + bow,498.0,Expense,INR
2018-03-18 17:16:44,Cash,Food,snacks,Papad packet,50.0,Expense,INR
2018-03-18 17:16:27,Cash,Food,snacks,1 Panipuri,30.0,Expense,INR
2018-03-18 17:16:09,Cash,Food,Tea,cutting chai,10.0,Expense,INR
2018-03-18 16:16:21,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-03-17 22:50:45,Cash,Food,Lunch,Catering Service,30.0,Expense,INR
2018-03-17 13:13:18,Saving Bank account 1,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-03-15 16:27:45,Cash,Food,Lunch,Catering Service,60.0,Expense,INR
2018-03-15 16:27:45,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-03-14 21:39:40,Cash,Household,Kirana,Mayonnaise + cheese cubes,140.0,Expense,INR
2018-03-14 21:38:13,Cash,Food,Onions,onion 2 kg,40.0,Expense,INR
2018-03-14 06:04:18,Credit Card,Food,Dinner,Domino's Pizza,578.0,Expense,INR
2018-03-14 06:03:35,Share Market Trading,Saving Bank account 1,Unknown,Unused funds,42.88,Transfer-Out,INR
2018-03-13 12:39:40,Cash,Family,Pocket money,No Description,480.0,Expense,INR
2018-03-13 09:27:56,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
,Saving Bank account 1,Transportation,train,2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,Expense,INR
,Cash,Household,Hardware,Mosquito Racket,300.0,Expense,INR
,Cash,Health,Health,All out refill,77.0,Expense,INR
,Cash,Food,Milk,1 lit ,72.0,Expense,INR
,Saving Bank account 1,Apparel,Laundry,clothes ironing,91.0,Expense,INR
,Cash,Food,Bread,Flatbread 12 pcs,40.0,Expense,INR
,Cash,Petty cash,Unknown,From Family,500.0,Income,INR
,Saving Bank account 1,subscription,Mahanagar Gas,No Description,540.0,Expense,INR
,Saving Bank account 1,Festivals,Holi,Holi Tip to cleaner,20.0,Expense,INR
,Saving Bank account 1,Food,snacks,2 Vadapav,30.0,Expense,INR
,Cash,Health,Medicine,Thyroid Tablets,172.0,Expense,INR
,Cash,Health,Medicine,5 Meftal spas,22.0,Expense,INR
,Saving Bank account 1,Education,Stationary,Xerox,4.0,Expense,INR
,Saving Bank account 1,Petty cash,Unknown,From Family,3500.0,Income,INR
,Credit Card,Documents,Courier,Aadhar PUC card delivery,50.0,Expense,INR
,Cash,Family,Pocket money,No Description,50.0,Expense,INR
,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
,Saving Bank account 1,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
,Credit Card,Household,Kirana,Supermart,1357.0,Expense,INR
,Credit Card,Household,Kirana,Smart point,972.0,Expense,INR
,Saving Bank account 1,Other,Unknown,blanket sewing,10.0,Expense,INR
,Cash,Family,Pocket money,No Description,450.0,Expense,INR
,Saving Bank account 1,Dividend earned on Shares,Unknown,ITC Stocks,78.0,Income,INR
,Saving Bank account 1,Food,Ice cream,chocobar,15.0,Expense,INR
,Credit Card,Food,Dinner,Domino's Pizza,189.0,Expense,INR
,Saving Bank account 1,Public Provident Fund,Unknown,No Description,10000.0,Transfer-Out,INR
2018-02-28 20:32:55,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-02-28 20:31:38,Saving Bank account 1,Food,Milk,Half lit Varna milk,36.0,Expense,INR
2018-02-28 20:31:10,Credit Card,Food,Onions,onion 1 kg,30.0,Expense,INR
2018-02-28 20:29:59,Credit Card,Food,Potato,potato 1kg,18.0,Expense,INR
2018-02-28 14:52:04,Saving Bank account 1,Salary,Unknown,From workplace ,64556.0,Income,INR
2018-02-27 19:44:34,Credit Card,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-02-27 13:21:31,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
2018-02-26 22:48:53,Saving Bank account 1,Food,Milk,1 lit ,73.0,Expense,INR
2018-02-26 19:32:22,Saving Bank account 1,Household,Toiletries,Mirror repair,140.0,Expense,INR
2018-02-26 18:25:59,Credit Card,Transportation,Bike,First servicing,443.0,Expense,INR
2018-02-26 12:41:33,Saving Bank account 1,Food,beverage,chaas,17.0,Expense,INR
2018-02-24 20:02:05,Saving Bank account 1,Food,Bread,Flatbread 12 pcs,40.0,Expense,INR
2018-02-23 22:34:02,Cash,Health,Medicine,Refresh Tears Drop,128.0,Expense,INR
2018-02-23 07:02:54,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-02-23 06:59:56,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-22 23:45:17,Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-02-22 20:39:03,Saving Bank account 1,Food,beverage,Limca,20.0,Expense,INR
2018-02-22 20:38:20,Saving Bank account 1,Food,Onions,onion 1 kg,20.0,Expense,INR
2018-02-22 19:19:32,Saving Bank account 1,Food,Lunch,Catering Service,192.0,Expense,INR
2018-02-20 21:42:59,Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,2600.0,Expense,INR
2018-02-19 22:15:12,Saving Bank account 1,Petty cash,Unknown,From Family,170.0,Income,INR
2018-02-19 22:15:12,Saving Bank account 1,Beauty,grooming,hair cut+shaving,170.0,Expense,INR
2018-02-19 09:47:24,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-19 09:47:14,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-02-17 23:12:28,Credit Card,Food,Dinner,BBQ,1783.0,Expense,INR
2018-02-17 23:10:32,Credit Card,Family,clothes,No Description,3598.0,Expense,INR
2018-02-17 19:27:16,Cash,Transportation,Bike,Mall parking,20.0,Expense,INR
2018-02-17 19:26:45,Cash,Food,Lunch,5 chapati,30.0,Expense,INR
2018-02-16 08:44:18,Saving Bank account 1,Food,snacks,banana chips,45.0,Expense,INR
2018-02-16 08:41:51,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-02-16 08:41:33,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
2018-02-15 19:48:20,Saving Bank account 1,Food,Ice cream,chocobar,35.0,Expense,INR
2018-02-15 19:47:54,Saving Bank account 1,Food,Grocery,Half kg tomato + methi 1 judi,30.0,Expense,INR
2018-02-15 19:46:43,Credit Card,Household,Kirana,Supermart,117.0,Expense,INR
2018-02-14 19:12:16,Saving Bank account 1,Food,snacks,1 chicken shawarma,60.0,Expense,INR
2018-02-13 20:24:24,Credit Card,Food,Potato,potato 1kg,25.0,Expense,INR
2018-02-13 20:23:23,Saving Bank account 1,Food,Bread,Bread,35.0,Expense,INR
2018-02-13 20:22:43,Saving Bank account 1,Food,Grocery,Amul cheese,72.0,Expense,INR
2018-02-13 06:58:06,Saving Bank account 1,Food,Milk,1 lit ,72.0,Expense,INR
,Saving Bank account 1,Food,Eggs,6 eggs,36.0,Expense,INR
,Saving Bank account 1,Food,curd,3 packets,30.0,Expense,INR
,Cash,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR
,Cash,Food,Dinner,pav Bhaji,235.0,Expense,INR
,Cash,Food,snacks,Vadapav,15.0,Expense,INR
,Cash,Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR
,Saving Bank account 1,Share Market,Unknown,No Description,4825.0,Transfer-Out,INR
,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
,Saving Bank account 1,Apparel,Laundry,clothes ironing,98.0,Expense,INR
,Saving Bank account 1,Food,snacks,Shev Puri,35.0,Expense,INR
,Saving Bank account 1,Food,Onions,onion 1 kg,25.0,Expense,INR
,Credit Card,Culture,Movie,2 PVR Place 6,312.0,Expense,INR
,Cash,Family,Pocket money,No Description,500.0,Expense,INR
,Saving Bank account 1,Food,Grocery,Raw chicken half kg,220.0,Expense,INR
,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
,Saving Bank account 1,Food,Milk,1 packet,69.0,Expense,INR
,Credit Card,Food,Dinner,Domino's Pizza,452.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Catering Service,50.0,Expense,INR
,Saving Bank account 1,Food,Milk,Half lit  milk,35.0,Expense,INR
,Saving Bank account 1,Food,Ice cream,chocobar,10.0,Expense,INR
,Credit Card,Transportation,Travels,Place 2 to Place 1 - Shree Sharma Travels,945.0,Expense,INR
,Cash,Gpay Reward,Unknown,No Description,6.0,Income,INR
,Saving Bank account 1,Food,Lunch,Catering Service,82.0,Expense,INR
,Saving Bank account 1,Share Market,Unknown,No Description,2836.0,Transfer-Out,INR
,Saving Bank account 1,Gpay Reward,Unknown,No Description,6.0,Income,INR
,Cash,Family,Pocket money,No Description,170.0,Expense,INR
,Saving Bank account 1,Food,fruits,8 bananas,30.0,Expense,INR
,Saving Bank account 1,Food,vegetables,Half kg tomato,15.0,Expense,INR
,Saving Bank account 1,Share Market,Unknown,No Description,50000.0,Transfer-Out,INR
2018-01-31 22:00:22,Cash,Food,Dinner,At restaurant,320.0,Expense,INR
2018-01-31 20:01:53,Saving Bank account 1,Transportation,Bike,Parking sticker,50.0,Expense,INR
2018-01-31 08:21:09,Saving Bank account 1,Salary,Unknown,From workplace ,64636.0,Income,INR
2018-01-31 07:31:34,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-30 21:05:31,Saving Bank account 1,Household,Kitchen,Matchbox packet 10pcs,10.0,Expense,INR
2018-01-30 21:05:19,Saving Bank account 1,Food,Grocery,Dahi 2 packets,20.0,Expense,INR
2018-01-30 15:31:24,Saving Bank account 1,Share Market,Unknown,No Description,10000.0,Transfer-Out,INR
2018-01-30 08:47:37,Cash,Family,Pocket money,No Description,100.0,Expense,INR
2018-01-29 07:50:07,Saving Bank account 1,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-01-29 07:49:51,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2018-01-29 07:49:22,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-28 19:26:02,Saving Bank account 1,Food,snacks,2 kachori,24.0,Expense,INR
2018-01-28 19:24:01,Credit Card,Household,Kirana,Smart point,976.9,Expense,INR
2018-01-28 19:16:31,Credit Card,Household,Kirana,Supermart,764.0,Expense,INR
2018-01-27 18:15:53,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,43000.0,Expense,INR
2018-01-27 09:57:14,Saving Bank account 1,Share Market,Unknown,No Description,30000.0,Transfer-Out,INR
2018-01-26 14:11:01,Cash,Transportation,auto,Place 0 to Current Residence,15.0,Expense,INR
2018-01-26 12:38:42,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-01-26 12:37:47,Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),1009.0,Expense,INR
2018-01-26 10:06:07,Saving Bank account 1,Food,Rajgira ladu,1 packet,20.0,Expense,INR
2018-01-26 10:05:55,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-26 10:03:44,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
2018-01-26 10:03:28,Cash,Household,Kirana,Idli pith 1kg,38.0,Expense,INR
2018-01-25 13:24:57,Cash,Food,Lunch,Catering Service,70.0,Expense,INR
2018-01-24 16:33:41,Share Market Trading,Saving Bank account 1,Unknown,No Description,97.14,Transfer-Out,INR
2018-01-24 09:51:12,Cash,Food,Milk,Half lit  milk,35.0,Expense,INR
2018-01-23 21:28:59,Credit Card,Household,Kirana,Smart point,273.0,Expense,INR
2018-01-22 19:05:26,Saving Bank account 1,Food,flour mill,2 kg Bajari,14.0,Expense,INR
2018-01-22 12:08:08,Cash,Food,flour mill,M D sure 3kg atta,162.0,Expense,INR
2018-01-22 10:25:23,Saving Bank account 1,Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,30.0,Expense,INR
2018-01-22 10:25:11,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-21 19:44:43,Credit Card,Food,Dinner,Home Food Delivery,384.0,Expense,INR
2018-01-20 23:30:27,Saving Bank account 1,Amazon pay cashback,Unknown,No Description,2.0,Income,INR
2018-01-20 20:53:43,Saving Bank account 1,Food,Biscuits,crack-jack 1 packi,10.0,Expense,INR
2018-01-20 20:53:20,Saving Bank account 1,Food,Bread,No Description,45.0,Expense,INR
2018-01-20 10:18:03,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,179.0,Expense,INR
2018-01-19 22:24:42,Saving Bank account 1,Food,Bread,Flatbread 6 pcs,17.0,Expense,INR
2018-01-19 22:24:20,Saving Bank account 1,Household,Kirana,Amul butter,53.0,Expense,INR
2018-01-19 22:23:35,Cash,Food,Bread,Flatbread 6 pcs,20.0,Expense,INR
2018-01-19 22:22:37,Cash,Household,Kirana,Cakes,46.0,Expense,INR
2018-01-18 21:57:46,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,50000.0,Expense,INR
2018-01-18 15:09:12,Credit Card,Food,Lunch,Fresh veggie pizza,219.0,Expense,INR
2018-01-18 07:55:29,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
2018-01-18 07:55:00,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-16 09:20:40,Cash,Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,165.0,Expense,INR
2018-01-16 08:22:48,Saving Bank account 1,Food,Milk,1 lit ,69.0,Expense,INR
2018-01-16 07:11:55,Credit Card,Social Life,Leisure,Marathon,298.0,Expense,INR
2018-01-15 16:55:27,Credit Card,Food,Sweets,Chitale Srikhand,284.0,Expense,INR
2018-01-15 16:54:35,Cash,Food,Grocery,onion 1 kg + half kg potato,38.0,Expense,INR
2018-01-15 13:51:31,Cash,Transportation,Train,Place 0 to Place 3 returns,40.0,Expense,INR
2018-01-15 13:50:29,Saving Bank account 1,Transportation,auto,Uber auto: Place 4 Station to Current Residence society,266.0,Expense,INR
2018-01-14 15:23:43,Cash,Transportation,Train,Place 0 to Santacruz return,40.0,Expense,INR
2018-01-14 15:22:04,Credit Card,Household,Hardware,Vibrating electronic message tool,798.0,Expense,INR
2018-01-14 15:22:51,Cash,Transportation,auto,station to Decathlon,20.0,Expense,INR
2018-01-14 15:22:40,Cash,Transportation,auto,Decathlon to station,25.0,Expense,INR
2018-01-14 15:21:39,Credit Card,Apparel,Clothing,Head band,199.0,Expense,INR
2018-01-14 12:21:16,Cash,Transportation,auto,Pali hill to Bandra station,23.0,Expense,INR
2018-01-14 10:54:48,Cash,Transportation,auto,mumbai University Kalina to Santacruz station,40.0,Expense,INR
2018-01-14 07:30:30,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-01-13 20:57:11,Cash,Health,Medicine,Thyroid Tablets,740.0,Expense,INR
2018-01-13 20:55:55,Saving Bank account 1,Apparel,Laundry,clothes ironing,80.0,Expense,INR
,Credit Card,Household,Kirana,Smart point,226.0,Expense,INR
,Cash,Health,Lab Tests,Family Thyroid Test,500.0,Expense,INR
,Saving Bank account 1,Share Market,Unknown,No Description,20000.0,Transfer-Out,INR
,Saving Bank account 1,Equity Mutual Fund A,Unknown,No Description,1000.0,Transfer-Out,INR
,Saving Bank account 1,Food,Eggs,6 eggs,42.0,Expense,INR
,Saving Bank account 1,Food,Rajgira ladu,2 packets,40.0,Expense,INR
,Cash,Food,Bread,Flatbread 12 pcs,34.0,Expense,INR
,Cash,Food,snacks,Vadapav,20.0,Expense,INR
,Cash,Other,Unknown,Gift from inlaws,2000.0,Income,INR
,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1399.0,Expense,INR
,Saving Bank account 1,Food,flour mill,M D sure 2kg atta,104.0,Expense,INR
,Cash,Household,Kirana,Harpik 1L,165.0,Expense,INR
,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
,Saving Bank account 1,subscription,Mahanagar Gas,No Description,810.0,Expense,INR
,Saving Bank account 1,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
,Cash,Food,curd,2 cups,20.0,Expense,INR
,Cash,Food,Milk,1 lit ,69.0,Expense,INR
,Equity Mutual Fund C,Maturity amount,Unknown,No Description,6049.0,Income,INR
,Cash,Household,Kirana,Cockroach injection,270.0,Expense,INR
,Cash,Household,Kirana,Nandadip oil bottle,130.0,Expense,INR
,Saving Bank account 1,Documents,Updation,Aadhar Address Change,50.0,Expense,INR
,Equity Mutual Fund A,Maturity amount,Unknown,SIP Redemption,113376.0,Income,INR
,Equity Mutual Fund D,Maturity amount,Unknown,SIP Redemption,106875.0,Income,INR
,Credit Card,Food,Dinner,Wok express + Domino's,681.0,Expense,INR
,Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux booking amount,1000.0,Expense,INR
,Saving Bank account 1,Food,Eggs,6 eggs,40.0,Expense,INR
,Credit Card,Household,Kirana,Supermart,1140.0,Expense,INR
,Cash,Health,Medicine,Refresh Tears Drop,158.0,Expense,INR
,Credit Card,subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,482.0,Expense,INR
,Cash,Food,Ice cream,Raspberry dolly,15.0,Expense,INR
,Credit Card,Household,gadgets,Logitech mouse,599.0,Expense,INR
,Saving Bank account 1,Money transfer,Home,No Description,30000.0,Expense,INR
2017-12-31 13:25:39,Cash,Food,Bread,Flatbread 24 pcs,30.0,Expense,INR
2017-12-31 08:15:25,Saving Bank account 1,Salary,Unknown,From workplace ,64623.0,Income,INR
2017-12-31 07:21:05,Saving Bank account 1,Interest,Unknown,interest paid,594.0,Income,INR
2017-12-30 10:51:45,Cash,Food,vegetables,Dudhi 20 + mirchi 5,25.0,Expense,INR
2017-12-29 21:36:07,Saving Bank account 1,Family,misc,For utensils,450.0,Expense,INR
2017-12-29 18:22:49,Cash,Food,snacks,3 pavwada,30.0,Expense,INR
2017-12-29 18:22:25,Cash,Household,Kirana,No Description,182.0,Expense,INR
2017-12-29 18:22:11,Cash,Food,flour mill,No Description,5.0,Expense,INR
2017-12-29 13:00:01,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2017-12-28 18:27:52,Cash,Food,vegetables,Ginger,10.0,Expense,INR
2017-12-27 18:43:16,Cash,Food,Grocery,Tata salt 28+ 6 eggs 42,70.0,Expense,INR
2017-12-26 21:55:12,Saving Bank account 1,Fixed Deposit,Unknown,No Description,250000.0,Transfer-Out,INR
2017-12-26 21:50:33,Fixed Deposit,Saving Bank account 1,Unknown,No Description,150000.0,Transfer-Out,INR
2017-12-26 19:35:40,Credit Card,subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",1749.0,Expense,INR
2017-12-25 17:43:26,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,156.0,Expense,INR
2017-12-25 11:53:26,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR
2017-12-25 05:48:15,Cash,Transportation,auto,Place 2 station to Permanent Residence,80.0,Expense,INR
2017-12-24 21:24:36,Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR
2017-12-24 19:28:25,Credit Card,Gift,Unknown,Birthday gift,1364.0,Expense,INR
2017-12-24 19:28:11,Cash,Food,snacks,Gupta bhel,25.0,Expense,INR
2017-12-24 19:27:42,Cash,Household,Toiletries,Toothbrush (buy 2 get 1),100.0,Expense,INR
2017-12-24 08:06:55,Saving Bank account 1,Food,Milk,Half lit  milk,35.0,Expense,INR
2017-12-23 11:06:42,Credit Card,Gift,Unknown,Birthday gift,798.0,Expense,INR
2017-12-22 14:42:54,Saving Bank account 1,Food,Lunch,Home Food Delivery,380.0,Expense,INR
,Saving Bank account 1,Equity Mutual Fund C,Unknown,No Description,1000.0,Transfer-Out,INR
2017-12-21 20:45:11,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR
2017-12-21 20:45:25,Cash,Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,118.0,Expense,INR
2017-12-21 14:34:40,Cash,Food,Lunch,Catering Service,65.0,Expense,INR
2017-12-21 14:34:05,Cash,Food,Milk,milk 1lit ,70.0,Expense,INR
2017-12-20 10:31:16,Cash,Food,Lunch,Catering Service,95.0,Expense,INR
2017-12-20 10:31:16,Credit Card,subscription,Edtech Course,Renewal,28400.0,Expense,INR
2017-12-19 20:59:27,Saving Bank account 1,Gpay Reward,Unknown,No Description,6.0,Income,INR
2017-12-19 20:25:07,Cash,Family,Pocket money,No Description,500.0,Expense,INR
2017-12-19 18:57:13,Cash,Food,snacks,Chicken Frankie,45.0,Expense,INR
2017-12-19 17:53:14,Share Market Trading,Saving Bank account 1,Unknown,Fund Withdrawal,108.96,Transfer-Out,INR
2017-12-19 17:53:27,Cash,Transportation,Train,Place 0 to WS return,10.0,Expense,INR
2017-12-19 06:38:08,Saving Bank account 1,Food,Milk,milk 1lit ,69.0,Expense,INR
2017-12-18 06:00:09,Credit Card,Apparel,Clothing,undergarment single,312.0,Expense,INR
2017-12-17 22:28:06,Credit Card,Food,Dinner,At restaurant,505.0,Expense,INR
2017-12-17 22:27:36,Cash,Transportation,auto,within city,30.0,Expense,INR
2017-12-17 22:26:42,Credit Card,Household,Kirana,Dmart,878.0,Expense,INR
2017-12-17 17:49:59,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR
2017-12-17 17:48:57,Cash,Transportation,auto,college to inorbit,25.0,Expense,INR
2017-12-17 16:28:43,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
